ESPAÑOL	ABREBIACIÓN	WAYUU
A	prep.	"1.amüin, anainmüin. 2.anain"
Aire	n.m.	jouktai
"Anciano, -na"	"adj n.m., n.f."	laülaa
Alma	n.f.	aa'in.
Antepasado	n.m.	atuushi
Bautizar	v.tr.	owoutisaajaa.
Bien	adj.	anaa
"Blanco, -ca"	"adj.n.m., n.f."	kasuwaa.(persona no wayuu)alijuna
Borrar	v.tr.	ojuichajaa
"Bueno, -na"	adj.	anaa.anamiaa
Cabeza	n.f.	"ekii,(de un grupo) ekiipü'ü"
"Cansado, -da"	adj.	mapüsaa.
Cara	n.f.	o'upünaa.
Chicha	n.f.	(de maíz sin alcohol)uujolu
Curar	v.tr.	eiyajaa.
Dar	v.tr.	aapaa
De	prep.	"anainjee, oulia."
Descendiente	"n.m., n.f."	"oo'uliwo'u,aikeyuu."
Dios	n.m.	Maleiwa
Donde	prep.	ama'ana.
Él	pron.	nia.
Ella	pron.	shia.
"Ellos, ellas"	pron.pl.	naya
En	prep.	"alu'u, aa'u, ainküin, (en elárea de) apa'a, (mezclado en) a'aka,(en un líquido) eroku, (en el fuego,
la luz, la oscuridad) o'u2 2. anain, (en una fecha) o'u2"
Español	n.m.	(idioma) alijunaiki.
Espíritu	n.m.	"1. aa'in. 2. yolujaa, ayolojo, (maligno) wanülüü, (de la
piache) aseyuu"
Existir	v.intr.	eewaa.
Familia	n.f.	apüshi.
Fe	n.f.	"anoula, anoujaa."
Flauta	n.f.	maasü.
Fluir	v.intr.	apalanajawaa
Fortaleza	n.f.	atsüin.
Gente	n.f.	wayuu
Gobernar	v.intr.v.tr.	aluwatawaa aa'u.
Grano	n.m.	o'u.
"Guardián, -diana"	"n.m., n.f."	apü'üya.
Guerra	n.f.	kasachiki
Hacia	prep.	anainmüin.
Hechizar	v.tr.	eiyajaa
Hembra	n.f.adj.	jierü.
Hilo	n.m.	jiirü
Hombre	n.m.	toolo
Idioma	n.m.	"anüiki, (de los wayuu)wayuunaiki.V.español"
Igual	"adj., adv."	wanaawaa.
Indígena	"n.m., n.f."	(indígena wayuu)wayuu
Intermediario-ria	"n.m., n.f."	pütchipü'ü.
Invadir	v.tr.	ashutaa aa'u.
"Jefe, -fa"	"n.m., n.f."	"laülaa, alaülashi,-sü, ekiipü'ü."
Joven	"n.m.,n.f."	jima'ai.majayülü.
Junco	n.m.	türiiya.
Juntar	v.tr.	outkajaa
"Justo, -ta"	adj.	"anamiaa, pansawaa."
La	pron.	1.pia.2.shia.
Lana	n.f.	oi
libre	adj	taashii
libro	n.m.	karaloukta.
lengua	n.f.	1.ayee.2.(idioma) pütchi
lluvia	n.f.	juya
lo	pron.	1.pia.2.nia.3.shia
"los, las"	pron.	1.jia.2.naya
madre	n.f	ei
maíz	n.m.	maikki.
me	pron	taya
"médico, -ca"	"n.m., n.f."	tottoolu
mente	n.f	"ekii, aa'in"
muy	adv	ma'i.
nacer	v.intr.	"jemeiwaa, jemeyuluu"
naturaleza	n.f.	akuaippa
no	adv	"nnojo. (no haber, no estar, noser) nnojolaa. (no poder) isaa achiki"
"nosotros, -tras"	pron.	waya.
nube	n.f.	siruma
o	conj.Je	 shiale.
olvidar	v.tr.	motoo aa'in.
ombligo	n.m.	omocho.
origen	n.m.	ekii
"otro, otra"	"adj., pron."	wane'eya.
padre	n.m.	ashi
para	prep	"apüla, amüin"
pero	conj	"alu'ujasa'a, akaisa'a,akatsa'a, akanasa'a"
persona	n.f.	wayuu
pueblo	n.m	1.wayuu.2.pueulo
que	conj.	"anain, amaa."
qué	pron	kasa
querer	v.tr.	achekaa
quién	pron.	"jarai, jaralü"
quitar	v.tr.	"asütaa, aakataa"
raíz	n.f.	ourala
realizar	v.tr.	oo'ulakaa
relato	n.m.	achiki.
risa	n.f	asira
"roto, -ta"	adj.	kasewaa.
saber	v.tr.	atüjaa. 
ser	v.intr.	"amaa, anain"
si	conj.	müleka
sol	n.m	ka'i.
sur	n.m	uuchipünaa.
tabaco	n.m	yüi.
te	pron	pia.
tierra	n.f	"mma,  isashii."
